All 2131 irreps of the N=5, p=3 Fock space (2^75 states)
maximal weight (12, 6, 0, -6, -12), C2max = 240

    #                 lambda              partition     C2      dim
   64   (11, 7, -2, -5, -11)      (22, 18, 9, 6, 0)    216 116,491,375
   65   (11, 7, -1, -7, -10)      (21, 17, 9, 3, 0)    216 113,190,000
   66     (12, 3, 3, -9, -9)     (21, 12, 12, 0, 0)    216 8,758,750
   67    (12, 4, 0, -4, -12)     (24, 16, 12, 8, 0)    216 139,300,875
   68   (12, 6, -2, -6, -10)      (22, 16, 8, 4, 0)    216 127,081,500
   69    (9, 9, -1, -6, -11)     (20, 20, 10, 5, 0)    215 33,444,576
   70    (10, 7, 0, -5, -12)     (22, 19, 12, 7, 0)    215 129,153,024
   71   (11, 6, -1, -4, -12)     (23, 18, 11, 8, 0)    215 133,739,424
   72     (11, 6, 1, -9, -9)     (20, 15, 10, 0, 0)    215 33,444,576
   73    (12, 4, 1, -6, -11)     (23, 15, 12, 5, 0)    215 133,739,424
   74    (12, 5, 0, -7, -10)     (22, 15, 10, 3, 0)    215 129,153,024
   75    (11, 5, 1, -5, -12)     (23, 17, 13, 7, 0)    214 150,822,000
   76   (12, 5, -1, -5, -11)     (23, 16, 10, 6, 0)    214 150,822,000
   77     (9, 8, 1, -7, -11)     (20, 19, 12, 4, 0)    213 59,690,400
   78    (11, 4, 3, -7, -11)     (22, 15, 14, 4, 0)    213 62,462,400
   79    (11, 6, 0, -6, -11)     (22, 17, 11, 5, 0)    213 150,714,200
   80   (11, 7, -3, -4, -11)      (22, 18, 8, 7, 0)    213 62,462,400
   81    (11, 7, -1, -8, -9)      (20, 16, 8, 1, 0)    213 59,690,400
   82     (9, 7, 2, -6, -12)     (21, 19, 14, 6, 0)    212 84,199,500
   83     (9, 8, 0, -5, -12)     (21, 20, 12, 7, 0)    212 67,740,750
   84    (10, 5, 3, -6, -12)     (22, 17, 15, 6, 0)    212 85,974,525
   85    (10, 7, 1, -8, -10)     (20, 17, 11, 2, 0)    212 71,471,400
   86   (10, 8, -2, -5, -11)      (21, 19, 9, 6, 0)    212 73,371,375
   87   (10, 8, -1, -7, -10)      (20, 18, 9, 3, 0)    212 71,471,400
   88    (11, 5, 2, -8, -10)     (21, 15, 12, 2, 0)    212 73,371,375
   89   (11, 6, -2, -3, -12)     (23, 18, 10, 9, 0)    212 71,569,575
   90    (12, 3, 1, -4, -12)     (24, 15, 13, 8, 0)    212 94,533,075
   91    (12, 3, 2, -6, -11)     (23, 14, 13, 5, 0)    212 71,569,575
   92   (12, 4, -1, -3, -12)     (24, 16, 11, 9, 0)    212 94,533,075
   93     (12, 5, 0, -8, -9)      (21, 14, 9, 1, 0)    212 67,740,750
   94   (12, 6, -3, -5, -10)      (22, 16, 7, 5, 0)    212 85,974,525
   95    (12, 6, -2, -7, -9)      (21, 15, 7, 2, 0)    212 84,199,500
   96     (8, 8, 2, -6, -12)     (20, 20, 14, 6, 0)    210 29,428,224
   97    (9, 9, -2, -5, -11)      (20, 20, 9, 6, 0)    210 25,049,024
   98    (9, 9, -1, -7, -10)      (19, 19, 9, 3, 0)    210 24,429,174
   99    (10, 4, 4, -6, -12)     (22, 16, 16, 6, 0)    210 30,354,324
  100    (10, 6, 2, -7, -11)     (21, 17, 13, 4, 0)    210 97,656,250
  101   (10, 7, -1, -4, -12)     (22, 19, 11, 8, 0)    210 96,136,326
  102     (10, 7, 1, -9, -9)     (19, 16, 10, 0, 0)    210 24,429,174
  103    (11, 4, 2, -5, -12)     (23, 16, 14, 7, 0)    210 100,641,024
  104     (11, 5, 2, -9, -9)     (20, 14, 11, 0, 0)    210 25,049,024
  105   (11, 7, -2, -6, -10)      (21, 17, 8, 4, 0)    210 97,656,250
  106    (12, 2, 2, -4, -12)     (24, 14, 14, 8, 0)    210 33,426,624
  107   (12, 4, -2, -2, -12)    (24, 16, 10, 10, 0)    210 33,426,624
  108    (12, 4, 1, -7, -10)     (22, 14, 11, 3, 0)    210 96,136,326
  109   (12, 5, -2, -4, -11)      (23, 16, 9, 7, 0)    210 100,641,024
  110   (12, 6, -4, -4, -10)      (22, 16, 6, 6, 0)    210 30,354,324
  111    (12, 6, -2, -8, -8)      (20, 14, 6, 0, 0)    210 29,428,224
  112     (9, 8, 1, -8, -10)     (19, 18, 11, 2, 0)    209 37,674,000
  113   (10, 8, -3, -4, -11)      (21, 19, 8, 7, 0)    209 39,270,000
  114    (10, 8, -1, -8, -9)      (19, 17, 8, 1, 0)    209 37,674,000
  115    (11, 4, 3, -8, -10)     (21, 14, 13, 2, 0)    209 39,270,000
  116    (10, 6, 1, -5, -12)     (22, 18, 13, 7, 0)    208 122,972,850
  117    (10, 7, 0, -6, -11)     (21, 18, 11, 5, 0)    208 108,927,000
  118    (11, 3, 3, -5, -12)     (23, 15, 15, 7, 0)    208 35,320,050
  119    (11, 5, 0, -4, -12)     (23, 17, 12, 8, 0)    208 127,702,575
  120    (11, 6, 0, -7, -10)     (21, 16, 10, 3, 0)    208 108,927,000
  121    (12, 4, 0, -5, -11)     (23, 15, 11, 6, 0)    208 127,702,575
  122   (12, 5, -3, -3, -11)      (23, 16, 8, 8, 0)    208 35,320,050
  123   (12, 5, -1, -6, -10)      (22, 15, 9, 4, 0)    208 122,972,850
  124     (9, 6, 3, -6, -12)     (21, 18, 15, 6, 0)    207 69,972,000
  125    (9, 8, -1, -4, -12)     (21, 20, 11, 8, 0)    207 50,232,000
  126      (9, 8, 1, -9, -9)     (18, 17, 10, 0, 0)    207 12,874,400
  127    (9, 9, -3, -4, -11)      (20, 20, 8, 7, 0)    207 13,395,200
  128     (9, 9, -1, -8, -9)      (18, 18, 8, 1, 0)    207 12,874,400
  129   (10, 7, -2, -3, -12)     (22, 19, 10, 9, 0)    207 51,251,200
  130     (11, 4, 3, -9, -9)     (20, 13, 12, 0, 0)    207 13,395,200
  131    (11, 5, 1, -6, -11)     (22, 16, 12, 5, 0)    207 125,871,200
  132   (11, 6, -1, -5, -11)     (22, 17, 10, 6, 0)    207 125,871,200
  133    (12, 3, 0, -3, -12)     (24, 15, 12, 9, 0)    207 79,027,200
  134    (12, 3, 2, -7, -10)     (22, 13, 12, 3, 0)    207 51,251,200
  135     (12, 4, 1, -8, -9)     (21, 13, 10, 1, 0)    207 50,232,000
  136    (12, 6, -3, -6, -9)      (21, 15, 6, 3, 0)    207 69,972,000
  137     (9, 7, 2, -7, -11)     (20, 18, 13, 4, 0)    206 64,638,000
  138    (10, 5, 3, -7, -11)     (21, 16, 14, 4, 0)    206 65,835,000
  139    (10, 6, 2, -8, -10)     (20, 16, 12, 2, 0)    206 61,446,000
  140   (10, 8, -2, -6, -10)      (20, 18, 8, 4, 0)    206 61,446,000
  141   (11, 7, -3, -5, -10)      (21, 17, 7, 5, 0)    206 65,835,000
  142    (11, 7, -2, -7, -9)      (20, 16, 7, 2, 0)    206 64,638,000
  143     (9, 8, 0, -6, -11)     (20, 19, 11, 5, 0)    205 57,081,024
  144     (11, 6, 0, -8, -9)      (20, 15, 9, 1, 0)    205 57,081,024
  145     (8, 7, 3, -6, -12)     (20, 19, 15, 6, 0)    204 38,942,750
  146     (8, 8, 2, -7, -11)     (19, 19, 13, 4, 0)    204 22,580,250
  147     (9, 5, 4, -6, -12)     (21, 17, 16, 6, 0)    204 39,414,375
  148     (9, 7, 1, -5, -12)     (21, 19, 13, 7, 0)    204 80,176,250
  149    (9, 8, -2, -3, -12)     (21, 20, 10, 9, 0)    204 26,723,125
  150    (9, 9, -2, -6, -10)      (19, 19, 8, 4, 0)    204 20,967,375
  151    (10, 4, 4, -7, -11)     (21, 15, 15, 4, 0)    204 23,205,000
  152     (10, 6, 2, -9, -9)     (19, 15, 11, 0, 0)    204 20,967,375
  153   (11, 5, -1, -3, -12)     (23, 17, 11, 9, 0)    204 85,278,375
  154   (11, 7, -4, -4, -10)      (21, 17, 6, 6, 0)    204 23,205,000
  155    (11, 7, -2, -8, -8)      (19, 15, 6, 0, 0)    204 22,580,250
  156    (12, 2, 1, -3, -12)     (24, 14, 13, 9, 0)    204 44,669,625
  157   (12, 3, -1, -2, -12)    (24, 15, 11, 10, 0)    204 44,669,625
  158    (12, 3, 1, -5, -11)     (23, 14, 12, 6, 0)    204 85,278,375
  159     (12, 3, 2, -8, -9)     (21, 12, 11, 1, 0)    204 26,723,125
  160    (12, 5, -1, -7, -9)      (21, 14, 8, 2, 0)    204 80,176,250
  161    (12, 6, -4, -5, -9)      (21, 15, 5, 4, 0)    204 39,414,375
  162    (12, 6, -3, -7, -8)      (20, 14, 5, 1, 0)    204 38,942,750
  163    (10, 5, 2, -5, -12)     (22, 17, 14, 7, 0)    203 95,846,400
  164    (10, 7, 0, -7, -10)     (20, 17, 10, 3, 0)    203 78,643,200
  165    (11, 4, 1, -4, -12)     (23, 16, 13, 8, 0)    203 99,727,200
  166    (11, 4, 2, -6, -11)     (22, 15, 13, 5, 0)    203 83,397,600
  167   (11, 6, -2, -4, -11)      (22, 17, 9, 7, 0)    203 83,397,600
  168   (12, 4, -1, -4, -11)     (23, 15, 10, 7, 0)    203 99,727,200
  169   (12, 5, -2, -5, -10)      (22, 15, 8, 5, 0)    203 95,846,400
  170     (8, 8, 1, -5, -12)     (20, 20, 13, 7, 0)    202 27,820,800
  171     (9, 7, 2, -8, -10)     (19, 17, 12, 2, 0)    202 40,644,450
  172    (10, 5, 3, -8, -10)     (20, 15, 13, 2, 0)    202 41,334,300
  173    (10, 6, 0, -4, -12)     (22, 18, 12, 8, 0)    202 102,334,050
  174   (10, 7, -1, -5, -11)     (21, 18, 10, 6, 0)    202 90,294,750
  175   (10, 8, -3, -5, -10)      (20, 18, 7, 5, 0)    202 41,334,300
  176    (10, 8, -2, -7, -9)      (19, 17, 7, 2, 0)    202 40,644,450
  177   (11, 5, -2, -2, -12)    (23, 17, 10, 10, 0)    202 29,937,600
  178    (11, 5, 1, -7, -10)     (21, 15, 11, 3, 0)    202 90,294,750
  179    (12, 2, 2, -5, -11)     (23, 13, 13, 6, 0)    202 29,937,600
  180    (12, 4, 0, -6, -10)     (22, 14, 10, 4, 0)    202 102,334,050
  181    (12, 5, -1, -8, -8)      (20, 13, 7, 0, 0)    202 27,820,800
